State,County,Violent crime,Murder and nonnegligent manslaughter,Rape(reviseddefinition)1,Rape(legacy definition)2,Robbery,Aggravatedassault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson3,
ALABAMA - Nonmetropolitan Counties,Chambers,3,0,0,,0,3,61,27,34,0,,
ALABAMA - Nonmetropolitan Counties,Cherokee,52,2,8,,3,39,346,118,194,34,,
ALABAMA - Nonmetropolitan Counties,Choctaw,7,0,0,,1,6,34,15,15,4,,
ALABAMA - Nonmetropolitan Counties,Clarke,48,3,5,,2,38,63,25,33,5,,
ALABAMA - Nonmetropolitan Counties,Clay,9,0,0,,0,9,15,4,7,4,,
ALABAMA - Nonmetropolitan Counties,Cleburne,6,0,1,,1,4,143,50,90,3,,
ALABAMA - Nonmetropolitan Counties,Coffee,31,1,7,,3,20,192,82,91,19,,
ALABAMA - Nonmetropolitan Counties,Coosa,21,1,0,,4,16,156,58,88,10,,
ALABAMA - Nonmetropolitan Counties,Covington,36,0,12,,0,24,232,86,119,27,,
ALABAMA - Nonmetropolitan Counties,Crenshaw,38,0,2,,2,34,147,49,77,21,,
ALABAMA - Nonmetropolitan Counties,Cullman,48,0,22,,5,21,944,285,556,103,,
ALABAMA - Nonmetropolitan Counties,Dale,34,0,6,,1,27,209,78,114,17,,
ALABAMA - Nonmetropolitan Counties,Dallas,81,2,8,,9,62,447,152,257,38,,
ALABAMA - Nonmetropolitan Counties,DeKalb,123,5,44,,3,71,814,320,400,94,,
ALABAMA - Nonmetropolitan Counties,Fayette,20,0,8,,0,12,67,23,33,11,,
ALABAMA - Nonmetropolitan Counties,Franklin,29,1,4,,3,21,276,108,153,15,,
ALABAMA - Nonmetropolitan Counties,Greene,32,0,2,,10,20,91,37,47,7,,
ALABAMA - Nonmetropolitan Counties,Lamar,13,0,2,,0,11,59,24,27,8,,
ALABAMA - Nonmetropolitan Counties,Macon,26,0,4,,2,20,144,62,66,16,,
ALABAMA - Nonmetropolitan Counties,Marengo,45,0,7,,4,34,170,70,85,15,,
ALABAMA - Nonmetropolitan Counties,Marion,26,0,2,,1,23,139,57,71,11,,
ALABAMA - Nonmetropolitan Counties,Marshall,26,2,7,,6,11,385,166,191,28,,
ALABAMA - Nonmetropolitan Counties,Monroe,27,0,0,,1,26,88,30,47,11,,
ALABAMA - Nonmetropolitan Counties,Pike,19,1,3,,1,14,132,44,75,13,,
ALABAMA - Nonmetropolitan Counties,Randolph,13,0,0,,0,13,145,67,78,0,,
ALABAMA - Nonmetropolitan Counties,Talladega,77,5,6,,12,54,747,240,420,87,,
ALABAMA - Nonmetropolitan Counties,Tallapoosa,11,1,2,,1,7,202,102,97,3,,
ALABAMA - Nonmetropolitan Counties,Washington,36,0,6,,2,28,133,58,60,15,,
ALABAMA - Nonmetropolitan Counties,Wilcox,38,0,1,,4,33,98,36,50,12,,
ALABAMA - Nonmetropolitan Counties,Winston,10,0,1,,2,7,54,16,34,4,,
ARIZONA - Metropolitan Counties,Cochise,253,1,24,,7,221,654,65,564,25,0,
ARIZONA - Metropolitan Counties,Coconino,138,2,19,,2,115,446,128,297,21,10,
ARIZONA - Metropolitan Counties,Maricopa,1053,20,26,,123,884,5188,1270,3321,597,33,
ARIZONA - Metropolitan Counties,Mohave,139,2,14,,16,107,2013,689,1186,138,13,
ARIZONA - Metropolitan Counties,Pima,566,10,76,,149,331,9143,1623,7006,514,57,
ARIZONA - Metropolitan Counties,Pinal,318,0,25,,20,273,2067,584,1282,201,13,
ARIZONA - Metropolitan Counties,Yavapai,245,1,28,,6,210,1152,343,708,101,14,
ARIZONA - Metropolitan Counties,Yuma,124,5,22,,10,87,1020,419,535,66,12,
ARIZONA - Nonmetropolitan Counties,Apache,19,0,0,,0,19,126,63,60,3,42,
ARIZONA - Nonmetropolitan Counties,Gila,184,0,4,,8,172,495,103,327,65,8,
ARIZONA - Nonmetropolitan Counties,Graham,15,1,2,,0,12,159,41,102,16,13,
ARIZONA - Nonmetropolitan Counties,Navajo,43,0,1,,1,41,406,175,187,44,4,
ARIZONA - Nonmetropolitan Counties,Santa Cruz,1,0,0,,0,1,184,65,99,20,0,
ARKANSAS - Metropolitan Counties,Benton,99,1,40,,0,58,483,225,239,19,0,
ARKANSAS - Metropolitan Counties,Cleveland,13,0,3,,0,10,54,16,33,5,0,
ARKANSAS - Metropolitan Counties,Craighead,46,1,13,,4,28,297,97,174,26,4,
ARKANSAS - Metropolitan Counties,Crawford,80,0,11,,0,69,358,70,243,45,2,
ARKANSAS - Metropolitan Counties,Crittenden,106,3,5,,16,82,309,108,181,20,1,
ARKANSAS - Metropolitan Counties,Faulkner,110,2,16,,5,87,1121,294,675,152,8,
ARKANSAS - Metropolitan Counties,Garland,345,0,38,,24,283,1831,786,926,119,0,
ARKANSAS - Metropolitan Counties,Grant,25,0,5,,0,20,193,40,132,21,1,
ARKANSAS - Metropolitan Counties,Jefferson,77,2,10,,3,62,385,135,222,28,6,
ARKANSAS - Metropolitan Counties,Lincoln,17,0,1,,1,15,90,37,46,7,0,
ARKANSAS - Metropolitan Counties,Little River,12,0,5,,0,7,53,15,31,7,0,
ARKANSAS - Metropolitan Counties,Lonoke,106,2,5,,0,99,428,117,259,52,5,
ARKANSAS - Metropolitan Counties,Madison,30,3,6,,0,21,105,43,57,5,4,
ARKANSAS - Metropolitan Counties,Perry,29,0,5,,0,24,186,43,138,5,0,
ARKANSAS - Metropolitan Counties,Poinsett,11,0,2,,1,8,1,0,1,0,0,
ARKANSAS - Metropolitan Counties,Pulaski,365,2,25,,27,311,1657,469,1034,154,12,
ARKANSAS - Metropolitan Counties,Saline,151,0,8,,5,138,651,223,349,79,2,
ARKANSAS - Metropolitan Counties,Sebastian,36,0,5,,1,30,317,112,191,14,1,
ARKANSAS - Metropolitan Counties,Washington,153,0,16,,2,135,611,215,358,38,6,
ARKANSAS - Nonmetropolitan Counties,Arkansas,8,0,1,,0,7,167,33,106,28,0,
ARKANSAS - Nonmetropolitan Counties,Ashley,11,0,3,,0,8,238,103,126,9,5,
ARKANSAS - Nonmetropolitan Counties,Baxter,67,3,15,,2,47,612,81,503,28,0,
ARKANSAS - Nonmetropolitan Counties,Boone,202,2,23,,0,177,379,128,225,26,0,
ARKANSAS - Nonmetropolitan Counties,Bradley,7,0,0,,0,7,39,19,17,3,0,
ARKANSAS - Nonmetropolitan Counties,Calhoun,2,1,0,,1,0,56,22,32,2,1,
ARKANSAS - Nonmetropolitan Counties,Carroll,53,0,4,,0,49,259,53,186,20,0,
ARKANSAS - Nonmetropolitan Counties,Chicot,4,0,1,,0,3,73,26,47,0,1,
ARKANSAS - Nonmetropolitan Counties,Clark,19,0,1,,1,17,93,28,60,5,1,
ARKANSAS - Nonmetropolitan Counties,Cleburne,42,0,20,,1,21,300,101,162,37,4,
ARKANSAS - Nonmetropolitan Counties,Columbia,23,0,0,,2,21,38,16,20,2,1,
ARKANSAS - Nonmetropolitan Counties,Conway,28,2,4,,2,20,295,45,216,34,5,
ARKANSAS - Nonmetropolitan Counties,Cross,21,0,3,,0,18,129,32,93,4,1,
ARKANSAS - Nonmetropolitan Counties,Dallas,4,0,0,,0,4,30,4,23,3,0,
ARKANSAS - Nonmetropolitan Counties,Drew,25,0,6,,0,19,103,28,62,13,2,
ARKANSAS - Nonmetropolitan Counties,Franklin,39,0,8,,2,29,114,33,69,12,1,
ARKANSAS - Nonmetropolitan Counties,Fulton,11,0,1,,1,9,69,0,62,7,0,
ARKANSAS - Nonmetropolitan Counties,Greene,37,0,4,,1,32,214,77,118,19,2,
ARKANSAS - Nonmetropolitan Counties,Hempstead,43,0,2,,3,38,187,41,130,16,4,
ARKANSAS - Nonmetropolitan Counties,Howard,6,0,1,,0,5,63,37,26,0,4,
ARKANSAS - Nonmetropolitan Counties,Independence,153,0,31,,6,116,738,222,461,55,12,
ARKANSAS - Nonmetropolitan Counties,Izard,37,0,19,,0,18,242,51,183,8,5,
ARKANSAS - Nonmetropolitan Counties,Jackson,31,0,4,,0,27,162,56,92,14,3,
ARKANSAS - Nonmetropolitan Counties,Johnson,64,2,17,,0,45,200,118,69,13,1,
ARKANSAS - Nonmetropolitan Counties,Lawrence,15,0,6,,0,9,82,28,50,4,1,
ARKANSAS - Nonmetropolitan Counties,Lee,6,0,0,,0,6,91,17,67,7,0,
ARKANSAS - Nonmetropolitan Counties,Logan,37,1,6,,4,26,242,84,139,19,4,
ARKANSAS - Nonmetropolitan Counties,Marion,36,0,9,,0,27,240,56,174,10,2,
ARKANSAS - Nonmetropolitan Counties,Mississippi,34,0,11,,9,14,365,106,232,27,1,
ARKANSAS - Nonmetropolitan Counties,Montgomery,12,0,1,,0,11,96,29,56,11,1,
ARKANSAS - Nonmetropolitan Counties,Nevada,11,0,1,,1,9,60,38,18,4,0,
ARKANSAS - Nonmetropolitan Counties,Newton,17,0,5,,0,12,81,34,43,4,2,
ARKANSAS - Nonmetropolitan Counties,Pike,17,0,7,,0,10,77,37,36,4,0,
ARKANSAS - Nonmetropolitan Counties,Polk,30,0,5,,2,23,134,39,88,7,12,
ARKANSAS - Nonmetropolitan Counties,Pope,55,2,4,,2,47,328,135,166,27,2,
ARKANSAS - Nonmetropolitan Counties,Randolph,17,1,10,,0,6,153,44,99,10,0,
ARKANSAS - Nonmetropolitan Counties,Scott,12,0,2,,0,10,97,36,58,3,5,
ARKANSAS - Nonmetropolitan Counties,Searcy,8,0,0,,0,8,25,7,15,3,0,
ARKANSAS - Nonmetropolitan Counties,Sevier,13,0,1,,1,11,110,51,56,3,1,
ARKANSAS - Nonmetropolitan Counties,St. Francis,16,0,2,,1,13,273,73,196,4,0,
ARKANSAS - Nonmetropolitan Counties,Stone,34,0,6,,0,28,139,63,73,3,1,
ARKANSAS - Nonmetropolitan Counties,Union,41,1,0,,3,37,357,102,217,38,1,
ARKANSAS - Nonmetropolitan Counties,Van Buren,18,0,1,,0,17,198,32,136,30,5,
ARKANSAS - Nonmetropolitan Counties,White,122,0,33,,1,88,750,223,446,81,1,
ARKANSAS - Nonmetropolitan Counties,Woodruff,3,0,0,,0,3,34,8,11,15,0,
ARKANSAS - Nonmetropolitan Counties,Yell,50,0,11,,1,38,173,51,116,6,2,
CALIFORNIA - Metropolitan Counties,Alameda,510,6,13,,177,314,2077,463,985,629,11,
CALIFORNIA - Metropolitan Counties,Butte,155,4,20,,14,117,1422,708,693,21,0,
CALIFORNIA - Metropolitan Counties,Contra Costa,426,14,24,,153,235,2013,660,1332,21,18,
CALIFORNIA - Metropolitan Counties,El Dorado,252,9,46,,32,165,2031,577,1412,42,4,
CALIFORNIA - Metropolitan Counties,Fresno,962,8,32,,112,810,3810,1398,1838,574,145,
CALIFORNIA - Metropolitan Counties,Imperial,219,0,6,,7,206,625,202,395,28,21,
CALIFORNIA - Metropolitan Counties,Kern,2235,31,157,,360,1687,9903,3243,4777,1883,300,
CALIFORNIA - Metropolitan Counties,Kings,122,2,16,,9,95,470,193,265,12,5,
CALIFORNIA - Metropolitan Counties,Los Angeles,5173,98,304,,1212,3559,16301,3739,8359,4203,215,
CALIFORNIA - Metropolitan Counties,Madera,334,1,18,,26,289,1252,556,686,10,4,
CALIFORNIA - Metropolitan Counties,Marin,95,3,5,,20,67,746,189,554,3,4,
CALIFORNIA - Metropolitan Counties,Merced,432,10,20,,30,372,1605,596,955,54,10,
CALIFORNIA - Metropolitan Counties,Monterey,244,5,31,,48,160,1246,347,872,27,12,
CALIFORNIA - Metropolitan Counties,Napa,79,1,13,,3,62,278,107,170,1,0,
CALIFORNIA - Metropolitan Counties,Orange,213,2,12,,28,171,1265,244,879,142,11,
CALIFORNIA - Metropolitan Counties,Placer,299,4,20,,36,239,1659,454,1163,42,4,
CALIFORNIA - Metropolitan Counties,Riverside,885,12,38,,172,663,7680,1880,4321,1479,18,
CALIFORNIA - Metropolitan Counties,Sacramento,3117,37,155,,1026,1899,11164,3690,7348,126,31,
CALIFORNIA - Metropolitan Counties,San Benito,41,1,4,,4,32,173,57,106,10,0,
CALIFORNIA - Metropolitan Counties,San Bernardino,920,18,91,,141,670,5527,1719,2583,1225,62,
CALIFORNIA - Metropolitan Counties,San Diego,1161,10,110,,161,880,4784,1153,2843,788,41,
CALIFORNIA - Metropolitan Counties,San Joaquin,845,5,18,,161,661,3564,1039,2381,144,30,
CALIFORNIA - Metropolitan Counties,San Luis Obispo,324,3,17,,15,289,1347,461,873,13,3,
CALIFORNIA - Metropolitan Counties,San Mateo,330,3,53,,90,184,2796,467,1953,376,15,
CALIFORNIA - Metropolitan Counties,Santa Barbara,266,2,29,,32,203,1676,511,1152,13,12,
CALIFORNIA - Metropolitan Counties,Santa Clara,232,4,36,,24,168,1358,261,899,198,3,
CALIFORNIA - Metropolitan Counties,Santa Cruz,295,0,25,,40,230,1935,604,1323,8,15,
CALIFORNIA - Metropolitan Counties,Shasta,697,3,69,,26,599,958,423,489,46,23,
CALIFORNIA - Metropolitan Counties,Solano,101,3,7,,14,77,404,186,176,42,9,
CALIFORNIA - Metropolitan Counties,Sonoma,638,5,73,,58,502,1468,517,937,14,19,
CALIFORNIA - Metropolitan Counties,Stanislaus,394,11,35,,122,226,2123,884,1188,51,14,
CALIFORNIA - Metropolitan Counties,Sutter,104,1,9,,10,84,562,185,332,45,4,
CALIFORNIA - Metropolitan Counties,Tulare,383,23,29,,64,267,2075,750,1325,0,0,
CALIFORNIA - Metropolitan Counties,Ventura,169,3,32,,16,118,849,236,530,83,15,
CALIFORNIA - Metropolitan Counties,Yolo,87,1,13,,5,68,309,109,185,15,6,
CALIFORNIA - Metropolitan Counties,Yuba,227,3,19,,40,165,1223,417,799,7,11,
CALIFORNIA - Nonmetropolitan Counties,Alpine,9,0,0,,0,9,35,15,19,1,0,
CALIFORNIA - Nonmetropolitan Counties,Amador,50,1,2,,5,42,340,130,205,5,1,
CALIFORNIA - Nonmetropolitan Counties,Calaveras,111,6,24,,8,73,656,251,386,19,0,
CALIFORNIA - Nonmetropolitan Counties,Colusa,33,0,2,,0,31,166,49,116,1,0,
CALIFORNIA - Nonmetropolitan Counties,Del Norte,101,1,21,,13,66,380,194,182,4,13,
CALIFORNIA - Nonmetropolitan Counties,Glenn,44,1,2,,3,38,165,74,89,2,2,
CALIFORNIA - Nonmetropolitan Counties,Humboldt,265,7,18,,45,195,760,371,358,31,12,
CALIFORNIA - Nonmetropolitan Counties,Inyo,58,0,7,,7,44,107,41,65,1,0,
CALIFORNIA - Nonmetropolitan Counties,Lake,200,3,16,,17,164,837,380,452,5,13,
CALIFORNIA - Nonmetropolitan Counties,Lassen,47,0,3,,3,41,200,78,122,0,3,
CALIFORNIA - Nonmetropolitan Counties,Mariposa,89,0,8,,1,80,268,77,189,2,0,
CALIFORNIA - Nonmetropolitan Counties,Mendocino,324,5,56,,20,243,451,215,230,6,10,
CALIFORNIA - Nonmetropolitan Counties,Modoc,34,0,1,,0,33,54,18,36,0,0,
CALIFORNIA - Nonmetropolitan Counties,Mono,14,0,1,,2,11,42,16,25,1,0,
CALIFORNIA - Nonmetropolitan Counties,Nevada,139,0,10,,8,121,716,380,321,15,5,
CALIFORNIA - Nonmetropolitan Counties,Plumas,82,1,12,,4,65,271,111,156,4,0,
CALIFORNIA - Nonmetropolitan Counties,Sierra,3,0,0,,0,3,31,5,23,3,0,
CALIFORNIA - Nonmetropolitan Counties,Siskiyou,39,2,4,,6,27,158,70,79,9,0,
CALIFORNIA - Nonmetropolitan Counties,Tehama,167,3,5,,1,158,249,173,75,1,14,
CALIFORNIA - Nonmetropolitan Counties,Trinity,34,1,6,,5,22,187,94,90,3,0,
CALIFORNIA - Nonmetropolitan Counties,Tuolumne,185,0,49,,22,114,749,413,330,6,2,
COLORADO - Metropolitan Counties,Adams,476,6,93,,68,309,2649,468,1518,663,19,
COLORADO - Metropolitan Counties,Arapahoe,225,2,70,,21,132,1304,331,819,154,15,
COLORADO - Metropolitan Counties,Boulder,106,0,28,,6,72,527,135,360,32,9,
COLORADO - Metropolitan Counties,Clear Creek,19,0,0,,0,19,84,21,50,13,2,
COLORADO - Metropolitan Counties,Douglas,164,1,60,,9,94,1649,301,1219,129,25,
COLORADO - Metropolitan Counties,El Paso,343,1,80,,15,247,1929,410,1346,173,16,
COLORADO - Metropolitan Counties,Gilpin,3,0,0,,1,2,40,6,32,2,0,
COLORADO - Metropolitan Counties,Jefferson,181,1,53,,18,109,2689,500,1970,219,10,
COLORADO - Metropolitan Counties,Larimer,168,3,32,,8,125,1035,204,729,102,10,
COLORADO - Metropolitan Counties,Mesa,201,1,55,,9,136,1262,270,893,99,10,
COLORADO - Metropolitan Counties,Park,13,1,2,,0,10,57,17,39,1,1,
COLORADO - Metropolitan Counties,Pueblo,17,1,1,,1,14,1186,210,855,121,2,
COLORADO - Metropolitan Counties,Teller,18,0,5,,1,12,65,17,46,2,0,
COLORADO - Metropolitan Counties,Weld,141,2,20,,5,114,689,200,424,65,10,
COLORADO - Nonmetropolitan Counties,Archuleta,32,0,2,,1,29,125,44,72,9,0,
COLORADO - Nonmetropolitan Counties,Baca,6,0,0,,0,6,5,2,2,1,0,
COLORADO - Nonmetropolitan Counties,Chaffee,9,0,1,,2,6,51,10,38,3,0,
COLORADO - Nonmetropolitan Counties,Cheyenne,6,0,0,,0,6,1,1,0,0,0,
COLORADO - Nonmetropolitan Counties,Conejos,1,0,0,,0,1,50,44,1,5,0,
COLORADO - Nonmetropolitan Counties,Crowley,5,0,3,,0,2,37,19,17,1,0,
COLORADO - Nonmetropolitan Counties,Custer,15,0,0,,0,15,,,53,5,4,
COLORADO - Nonmetropolitan Counties,Delta,13,0,11,,0,2,151,53,82,16,1,
COLORADO - Nonmetropolitan Counties,Dolores,3,1,1,,0,1,17,8,7,2,0,
COLORADO - Nonmetropolitan Counties,Eagle,39,0,6,,3,30,332,56,255,21,8,
COLORADO - Nonmetropolitan Counties,Fremont,25,0,5,,0,20,189,50,113,26,0,
COLORADO - Nonmetropolitan Counties,Garfield,17,0,8,,0,9,220,59,146,15,3,
COLORADO - Nonmetropolitan Counties,Grand,11,0,4,,0,7,74,19,51,4,0,
COLORADO - Nonmetropolitan Counties,Gunnison,2,0,0,,0,2,29,0,29,0,0,
COLORADO - Nonmetropolitan Counties,Hinsdale,1,0,1,,0,0,5,3,0,2,0,
COLORADO - Nonmetropolitan Counties,Huerfano,9,0,1,,0,8,7,3,3,1,0,
COLORADO - Nonmetropolitan Counties,Kit Carson,7,0,0,,0,7,46,17,21,8,1,
COLORADO - Nonmetropolitan Counties,Lake,2,0,1,,1,0,12,4,8,0,0,
COLORADO - Nonmetropolitan Counties,La Plata,48,1,15,,0,32,251,76,164,11,3,
COLORADO - Nonmetropolitan Counties,Las Animas,2,0,0,,0,2,4,2,2,0,0,
COLORADO - Nonmetropolitan Counties,Lincoln,0,0,0,,0,0,28,6,18,4,0,
COLORADO - Nonmetropolitan Counties,Logan,13,1,2,,0,10,91,38,41,12,1,
COLORADO - Nonmetropolitan Counties,Moffat,0,0,0,,0,0,36,8,27,1,2,
COLORADO - Nonmetropolitan Counties,Montezuma,20,0,4,,0,16,159,44,109,6,2,
COLORADO - Nonmetropolitan Counties,Montrose,11,0,2,,0,9,206,82,112,12,2,
COLORADO - Nonmetropolitan Counties,Morgan,18,0,2,,0,16,82,24,53,5,1,
COLORADO - Nonmetropolitan Counties,Otero,4,0,0,,0,4,93,40,41,12,0,
COLORADO - Nonmetropolitan Counties,Ouray,0,0,0,,0,0,0,0,0,0,0,
COLORADO - Nonmetropolitan Counties,Phillips,1,0,1,,0,0,8,2,5,1,0,
COLORADO - Nonmetropolitan Counties,Pitkin,3,0,3,,0,0,31,5,22,4,0,
COLORADO - Nonmetropolitan Counties,Prowers,9,0,0,,0,9,21,8,9,4,0,
COLORADO - Nonmetropolitan Counties,Rio Blanco,1,0,1,,0,0,32,4,28,0,0,
COLORADO - Nonmetropolitan Counties,Rio Grande,6,0,1,,0,5,11,3,5,3,0,
COLORADO - Nonmetropolitan Counties,Routt,12,2,4,,0,6,55,10,43,2,1,
COLORADO - Nonmetropolitan Counties,Saguache,2,0,0,,0,2,42,22,17,3,0,
COLORADO - Nonmetropolitan Counties,Summit,28,1,16,,0,11,222,33,178,11,0,
COLORADO - Nonmetropolitan Counties,Washington,13,0,0,,0,13,40,10,24,6,1,
DELAWARE - Metropolitan Counties,New Castle County Police Department,1008,12,69,,218,709,4480,1112,3016,352,3,
FLORIDA - Metropolitan Counties,Alachua,543,1,60,,74,408,1864,570,1209,85,14,
FLORIDA - Metropolitan Counties,Baker,125,0,1,,8,116,373,106,255,12,1,
FLORIDA - Metropolitan Counties,Bay,338,6,39,,24,269,2486,554,1767,165,1,
FLORIDA - Metropolitan Counties,Brevard,806,3,133,,89,581,4559,945,3309,305,21,
FLORIDA - Metropolitan Counties,Broward,261,7,30,,56,168,798,142,572,84,3,
FLORIDA - Metropolitan Counties,Charlotte,325,0,30,,25,270,2360,400,1864,96,6,
FLORIDA - Metropolitan Counties,Citrus,419,2,49,,37,331,1912,405,1400,107,15,
FLORIDA - Metropolitan Counties,Clay,496,4,72,,73,347,3259,562,2579,118,12,
FLORIDA - Metropolitan Counties,Collier,989,2,100,,163,724,4148,847,3045,256,13,
FLORIDA - Metropolitan Counties,Escambia,1764,20,165,,319,1260,9865,2193,7148,524,23,
FLORIDA - Metropolitan Counties,Flagler,221,1,22,,19,179,1623,339,1191,93,2,
FLORIDA - Metropolitan Counties,Gadsden,114,0,9,,7,98,411,192,203,16,2,
FLORIDA - Metropolitan Counties,Gulf,58,1,5,,1,51,191,76,108,7,0,
FLORIDA - Metropolitan Counties,Hernando,472,2,43,,53,374,3651,701,2742,208,19,
FLORIDA - Metropolitan Counties,Highlands,262,4,30,,30,198,1790,448,1269,73,7,
FLORIDA - Metropolitan Counties,Hillsborough,2031,33,194,,371,1433,15521,3127,11342,1052,36,
FLORIDA - Metropolitan Counties,Indian River,240,2,17,,21,200,2386,476,1803,107,5,
FLORIDA - Metropolitan Counties,Jefferson,119,0,10,,1,108,136,63,61,12,1,
FLORIDA - Metropolitan Counties,Lake,447,6,54,,39,348,2565,744,1670,151,11,
FLORIDA - Metropolitan Counties,Lee,1522,17,154,,340,1011,7006,1815,4667,524,38,
FLORIDA - Metropolitan Counties,Leon,414,1,27,,37,349,2353,567,1670,116,6,
FLORIDA - Metropolitan Counties,Manatee,1697,12,173,,213,1299,6493,1471,4725,297,24,
FLORIDA - Metropolitan Counties,Marion,845,6,88,,87,664,3918,1197,2482,239,7,
FLORIDA - Metropolitan Counties,Martin,326,0,50,,50,226,1901,327,1491,83,10,
FLORIDA - Metropolitan Counties,Miami-Dade,6179,86,379,,1661,4053,36917,5380,28314,3223,25,
FLORIDA - Metropolitan Counties,Nassau,75,2,15,,5,53,789,332,418,39,5,
FLORIDA - Metropolitan Counties,Okaloosa,555,6,48,,49,452,3110,600,2382,128,2,
FLORIDA - Metropolitan Counties,Orange,5473,53,520,,1405,3495,26313,6700,17384,2229,0,
FLORIDA - Metropolitan Counties,Osceola,780,6,76,,91,607,4595,1141,3251,203,2,
FLORIDA - Metropolitan Counties,Palm Beach,1989,25,231,,447,1286,12732,2832,8908,992,41,
FLORIDA - Metropolitan Counties,Pasco,1405,14,123,,181,1087,9252,1968,6617,667,50,
FLORIDA - Metropolitan Counties,Pinellas,887,5,136,,154,592,6011,1058,4549,404,26,
FLORIDA - Metropolitan Counties,Polk,1291,16,85,,136,1054,6791,1962,4251,578,86,
FLORIDA - Metropolitan Counties,Santa Rosa,242,3,39,,22,178,1475,346,1042,87,6,
FLORIDA - Metropolitan Counties,Sarasota,551,5,46,,72,428,4980,982,3825,173,4,
FLORIDA - Metropolitan Counties,Seminole,560,2,81,,57,420,3163,856,2144,163,3,
FLORIDA - Metropolitan Counties,St. Johns,311,2,20,,23,266,2706,467,2105,134,8,
FLORIDA - Metropolitan Counties,St. Lucie,213,3,23,,34,153,1449,353,1002,94,19,
FLORIDA - Metropolitan Counties,Sumter,213,1,16,,15,181,890,242,598,50,4,
FLORIDA - Metropolitan Counties,Volusia,689,5,67,,88,529,4113,1003,2847,263,18,
FLORIDA - Metropolitan Counties,Wakulla,102,2,11,,6,83,517,87,407,23,2,
FLORIDA - Metropolitan Counties,Walton,172,0,14,,7,151,1152,305,782,65,4,
FLORIDA - Nonmetropolitan Counties,Bradford,48,0,6,,4,38,179,80,93,6,0,
FLORIDA - Nonmetropolitan Counties,Calhoun,22,0,0,,0,22,54,23,22,9,1,
FLORIDA - Nonmetropolitan Counties,Columbia,277,2,17,,9,249,1110,467,583,60,1,
FLORIDA - Nonmetropolitan Counties,DeSoto,86,0,7,,8,71,566,138,389,39,5,
FLORIDA - Nonmetropolitan Counties,Dixie,66,1,5,,3,57,288,129,142,17,1,
FLORIDA - Nonmetropolitan Counties,Franklin,21,2,4,,1,14,85,38,42,5,0,
FLORIDA - Nonmetropolitan Counties,Glades,35,1,1,,1,32,197,74,106,17,0,
FLORIDA - Nonmetropolitan Counties,Hamilton,38,4,3,,6,25,217,82,126,9,3,
FLORIDA - Nonmetropolitan Counties,Hardee,47,0,8,,3,36,276,88,168,20,0,
FLORIDA - Nonmetropolitan Counties,Hendry,235,2,19,,28,186,865,413,415,37,2,
